episode-act,percentMaleProducers,totalProducerCount,percentMaleSubjectDialogue,maleSubjectWordCount,totalSubjectWordCount,episode,act,title,contributors,description
290.01,100.0,1.0,100.0,1652.0,1652.0,290,0.01,Act One. The Substance Of Things Hoped For...In Government.,Ira Glass,"
We hear a quick rundown of all the ways that Christian conservatives are making headway in advancing their values as public policy, why they think total separation of church and state is not what the founding fathers intended. And why they're wrong. On the Christian side of this argument is Pastor Russell Johnson of the Ohio Restoration Project, which is trying to recruit ""patriot pastors"" to get involved in state politics; and Bill Carrico, a Virgina legislator who's trying to make sure people can express their Christianity in schools and other public places. And then there are the videos and speeches of David Barton, whose group, Wallbuilders, is trying to teach people that the founding fathers meant for America to be a Christian country. On the other side are Rob Boston, spokesman for Americans United for Separation of Church and State, and Cornell government professor Isaac Kramnick, co-author of The Godless Constitution. (20 minutes) Politics • Religion Ira Glass
 "
266.03,0.0,1.0,100.0,137.0,137.0,266,0.03,Act Three. Green Zone.,Nancy Updike,"
The Green Zone is where the Coalition Provisional Authority has set up its headquarters, and the former seat of Saddam Hussein's government. Nancy ends up at a hidden restaurant by a helipad, with workers for Fluor Corporation, who have just arrived in Iraq to fix power plants. (5 minutes) Business • Iraq Nancy Updike
 "
266.04,0.0,1.0,100.0,241.0,241.0,266,0.04,Act Four. Electricity.,Nancy Updike,"
On their way out to a power plant, Nancy and Lee, a supervisor for Fluor in Iraq, get shot at by men in a BMW. When they finally get to the plant, Nancy learns why it's been so difficult to get power plants running again in the country. (7 minutes) Business • Iraq Nancy Updike
 "
266.07,0.0,1.0,100.0,329.0,329.0,266,0.07,Act Seven. Hank Redux.,Nancy Updike,"
Nancy finally gets Hank, the Custer Battles employee, to answer the question of whether he ever has any reservations about his mission—or the country's mission—in Iraq. (3 minutes)John Kimbrough composed original music for this week's show. Nancy's story got support from HearingVoices.com, which gets funding from the Corporation for Public Broadcasting.Business • Iraq • Jobs/Employment Nancy Updike
 "
268.01,100.0,1.0,100.0,3936.0,3936.0,268,0.01,"Act One. That's Funny, You Don't Look Jewish.",David Segal,"
Chaim and Billy both lived in Williamsburg, Brooklyn, just blocks away from each other, in worlds that almost never collided. Chaim was a Hasidic Jew—he'd never heard pop music or watched MTV. Billy Campion, known as the rocker Vic Thrill, was the star of an underground band. Billy put Chaim, who took on the name Curly Oxide, into the band, and in just one year, he leapt from the 19th century into the 21st. David Segal, rock critic for the Washington Post, reports. (39 minutes)Music • Religion David Segal
 
Song:
""CE-5"", Vic Thrill 
 
"
271.01,100.0,1.0,100.0,760.0,760.0,271,0.01,Act One. I'd Rather Not.,Ira Glass,"
The story of Colin's truancy continues. The whole thing was especially awkward for his dad, because he's a behavior specialist for 100 public schools in Oregon—including Colin's school. Corey wanted his son to go back, but he also knew how awful school can be for some kids. (6 minutes) Education • Teenagers Ira Glass
 
Song:
""We're Not Going To Take It"", Twisted Sister 
 
"
272.04,100.0,1.0,100.0,1078.0,1078.0,272,0.04,Act Four. It's My Party.,Ira Glass,"
One of the most civil conversations you'll ever hear between GOP members on opposite sides of the party's culture war. Log Cabin Republican Patrick Howell from Act One sits down to talk with Christian Republican Steven King from Act Two, to hash out their differences. (10 minutes) Politics • Sexuality Ira Glass
 "
274.01,100.0,1.0,100.0,1477.0,1477.0,274,0.01,Act One. Our Own Worst Enemy?,Ira Glass,"
In this election year, one question is rarely asked in a very direct way: Is the Bush Administration competent at conducting the war on terror? Every few weeks it seems like there's more news about how badly it's going: Senior Administration officials like Colin Powell now admit the insurgency in Iraq is growing; terror suspects like Yasir Hamdi (who supposedly were so dangerous that having a lawyer talk to them about their case would compromise national security) are released without trial because the evidence against them is so flimsy; there was the Abu Ghraib prison scandal; and just this week, the former head of the U.S. operation in Iraq, Paul Bremer, declared the problem from the start was that there were not enough troops there. Host Ira Glass discusses whether the Bush Administration is simply not very skilled at fighting terror with Richard Perle and James Fallows. Perle was one of the early advocates in Administration circles of going to war in Iraq. During the run-up to the war, he was chairman of the Defense Policy Board, a civilian advisory panel in the Pentagon. Fallows is national correspondent for The Atlantic Monthly, who has written extensively on the planning and early problems in the war in Iraq. (14 minutes)Iraq • Military • Politics • Terrorism Ira Glass
 
Song:
""I Give Up"", Quasi 
 
"
274.02,100.0,1.0,100.0,1567.0,1567.0,274,0.02,Act Two. Confession.,Carl Marziali,"
Patrick Wall was a special kind of monk. He was a fixer. The Catholic church sent him to problem parishes where priests had been removed because of scandal. His job was to come in, keep events from going public, and smooth things over until a permanent replacement priest was found. But after four different churches in four years, after covering up for pedophiles and adulterers and liars and embezzlers, he decided to make a change. Carl Marziali tells his story. Read the statement from St. John's Monastery on sex abuse by their monks. Also, visit the website of the Survivor's Network of Those Abused by Priests. (21 minutes) Crime • Religion Carl Marziali
 "
274.03,100.0,1.0,100.0,1083.0,1083.0,274,0.03,Act Three. Blood Agent.,Ira Glass,"
You can divide all living creatures into two camps. We humans are in one camp, along with lots of other things like dogs and birds and trees and caterpillars. In the other camp are the things that live inside of us, the bacterias and viruses, the worms and protozoans, in short, parasites. Scientists estimate that the parasites outnumber us and our free-living allies by 3 to 1. Carl Zimmer, author of the book Parasite Rex, talks with Ira about how parasites manage the trick of living inside of us, behind enemy lines, without us finding out. (9 minutes).Science Ira Glass
 
Song:
""I Live Off You"", X-Ray Spex
 
"
278.01,100.0,1.0,100.0,1412.0,1412.0,278,0.01,Act One. The Lobbyist.,Jonathan Goldstein,"
When Burt Covit was programming his VCR one day, he accidentally tuned in to a channel showing the lobby of a building. He started to watch, and couldn't stop. Then a mysterious woman appeared, wearing a pill-box hat. Burt told this story on the CBC radio program Wiretap. Jonathan Goldstein, a contributing editor to This American Life, is the host of Wiretap. This story is a work of fiction, staged as a radio interview. (12 minutes)Fiction • Television Jonathan Goldstein
 
Song:
""Television"", Robyn Hitchcock 
 
"
280.02,100.0,1.0,100.0,2121.0,2121.0,280,0.02,Act Two. Marine Life.,Jack Hitt,"
Rob Miller is a first lieutenant in the Marine Corps commanding a weapons platoon in ""Charlie Company"" of the First Battalion, Eighth Marines. He led his men recently in the battle of Fallujah, and in a recent satellite phone call, he told This American Life contributing editor Jack Hitt (who also happens to be his uncle) what we never seem to hear elsewhere: Details of what it's like to fight house-to-house in urban warfare. One of the weirdest moments in the recent battle of Fallujah? Hearing the psy-ops unit blast funky 1970s music across the city as Rob's battalion began its push. All he could think of, he says, was the movie Full Metal Jacket. (15 minutes) Iraq • Military • Music Jack Hitt
 "
281.02,0.0,1.0,100.0,1038.0,1038.0,281,0.02,"Act Two. What Happens In Baghdad, Stays In Baghdad.",Jen Banbury,"
Two young men, Jeff Neumann and Ray Lemoine, decide it'd be interesting to be part of the rebuilding of Iraq. So they take a bus to Baghdad during the war and the bombings and the kidnappings and try to make their mark. Jen Banbury, who wrote for Salon.com from Baghdad, met Jeff and Ray there. She tells the story. (11 minutes) Iraq Jen Banbury
 "
284.02,0.0,1.0,100.0,1154.0,1154.0,284,0.02,Act Two. Not Far From The Tree.,Amy O'Leary,"
Amy O'Leary tells the story of a software writer at Apple Computer whose job contract ends, but he refuses to go away. He continues to show up at work every day, sneaking in the front door, hiding out in empty offices, and putting in long hours on a project the company canceled. There were no meetings, no office politics, no managers interfering with his work. Soon, he had written a perfect piece of software. His final problem is figuring out how to secretly install it in Apple's new computers without anyone noticing. (12 minutes)Jobs/Employment Amy O'Leary
 
Song:
""Should I Stay or Should I Go"", The Picketts 
 
"
285.02,100.0,1.0,100.0,1222.0,1222.0,285,0.02,"Act Two. I Am Curious, Jello.",David Segal,"
About 20 years ago, a Los Angeles prosecutor named Michael Guarino thought he'd make a name for himself by taking the lead singer of the Dead Kennedys to court for obscenity. He was so sure of success, he didn't even bother to listen to the lyrics. As the trial wore on, Guarino began to think twice about his mission. Reporter David Segal tells the story. (19 minutes)Legal System • Music David Segal
 
Song:
""I Fought the Law"", Dead Kennedys 
 
"
287.02,100.0,1.0,100.0,1365.0,1365.0,287,0.02,Act Two. Don't Drive Like My Brother.,Jonathan Menjivar,"
Charles Johnson was living in St. Louis, married with a young daughter, and he had no job. He looked around, and decided he'd try trucking. There was this company offering to train and hire drivers, so he signed up. The only problem was, he couldn't read. Jonathan Menjivar reports on how Charles traveled all across the country making deliveries, without ever consulting a map. And without ever telling anyone—even his own wife and brothers—that he couldn't read. The literacy program where Charles learned to read accepts volunteers. Their website: LiteracyChicago.org. (16 minutes)Jobs/Employment • Travel Jonathan Menjivar
 
Song:
""Big Truck Driver"", Mystikal 
 
"
287.03,100.0,1.0,100.0,1843.0,1843.0,287,0.03,Act Three. Confessions Of A Not-so-dangerous Mind.,Brian Montopolis,"
How NOT to get a job in U.S. intelligence: Admit to being a pervert during your job interview. Somehow, though, that's exactly what happened to a perfectly normal, nice guy who we're calling ""Matt"" for the purposes of this story. On paper, Matt was a perfect candidate to be an analyst for the National Security Agency. He was bright, ambitious, spoke Chinese. But he was also a little neurotic. So somewhere in the midst of his final round of testing for the NSA job, he started to worry about this riddle: What if I've done something bad, but I don't know I've done it? Am I still guilty? This, it turns out, is not the best way to approach a lie detector test. Brian Montopolis, Matt's friend, interviewed him about what happened. (15 minutes) Government • Jobs/Employment Brian Montopolis
 "
289.02,100.0,1.0,100.0,371.0,371.0,289,0.02,Act Two. My Favorite Martian.,Paul Tough,"
Paul Tough's father was a mild-mannered professor. And then one day he left his family and went on a quest. In this story, for the first time, Paul joins him on that quest: To make contact with extraterrestrial life. Paul asks his father the questions he's always wanted answered about his alien pursuits. Paul Tough is one of the original contributing editors to This American Life. He is the author of Whatever It Takes: Geoffrey's Canada's Quest to Change Harlem in America. His next book, How Children Succeed: Grit, Curiosity, and the Hidden Power of Character, will be published in September. He first read a version of his story at the Little Gray Books lecture series in New York. (18 minutes) Fathers • Science Paul Tough
 "
320.03,100.0,2.0,100.0,1027.0,1027.0,320,0.03,Act Three. The War This Time.,"Alex Blumberg, Ira Glass","
The Lancet's new study of deaths in Iraq, by the same research team that did the earlier study, yielded an astounding number—650,000 civilian deaths. Producer Alex Blumberg talks to Ira about the debate over this new study. (6 minutes) Death • Family • Iraq • Journalism • War Alex Blumberg
Ira Glass
 "
324.01,50.0,2.0,100.0,3424.0,3424.0,324,0.01,Act One. Mr. Adam's Neighborhood.,"Adam Davidson, Nancy Updike","
Radio reporter Adam Davidson went to Iraq to report on the war. He decided that rather than living in some journalist compound in the Green Zone or in a big hotel—places insurgents were more likely to attack—he'd fly under the radar, and keep safe...by renting a house in a residential Baghdad neighborhood. This plan turned out to have some serious flaws—flaws the American military forces were probably all too familiar with. This American Life producer Nancy Updike talked to Adam about his occupation strategy. (27 minutes) Housing • Iraq • Journalism Adam Davidson
Nancy Updike
 "
265.04,100.0,1.0,100.0,525.0,525.0,265,0.04,Act Four. Radio Science.,Brent Runyon,"
Fake science can be fun. Fake science can make people happy. Brent Runyon has heard it happen on a favorite late night radio show (www.coasttocoastam.com) Brent's the author of the memoir The Burn Journals. (11 minutes) Radio • Science Brent Runyon
 "
364.02,100.0,2.0,100.0,1623.0,1623.0,364,0.02,Act Two. Lonely Hearts Club Band...Of One.,"David Berkeley, Ira Glass","
      Musician David Berkeley has gotten a lot of requests in his life, but none quite like the offer his agent got last year. A fan wanted Berkeley to come to his house and help save his relationship by serenading the troubled couple with a personal concert. Ira Glass talks to Berkeley about why he took the gig, and what happened when he got there. Berkeley's newest album is called Strange Light. His website, along with free downloads, is here. (13 minutes)  Love • Music • Relationships David Berkeley
Ira Glass
 
Song:
""Isn't It Romantic"", Ella Fitzgerald
 
"
351.04,0.0,1.0,100.0,711.0,711.0,351,0.04,Act Four. When We Were Angels.,Hillary Frank,"
The most innocent possible student uprising imaginable...documented by an actual student, Hillary Frank, using the crude tools of a telephone answering machine and a shiny red boom box. (10 minutes) Art • Education • Funny Hillary Frank
 "
354.01,100.0,1.0,100.0,2931.0,2931.0,354,0.01,Act One. You’re As Cold As Ice.,Sam Shaw,"
In the late 1960s, a California TV repairman named Bob Nelson joined a group of enthusiasts who believed they could cheat death with a new technology called cryonics. But freezing dead people so scientists can reanimate them in the future is a lot harder than it sounds. Harder still was admitting to the family members of people Bob had frozen that he'd screwed up. Sam Shaw reports. (42 minutes) Business • Death • Science Sam Shaw
 
Song:
""So Sorry"", Feist
 
"
355.02,100.0,4.0,100.0,5132.0,5132.0,355,0.02,Act Two.,"Adam Davidson, Alex Blumberg, Planet Money","
Alex and Adam's story continues. (23 minutes)Business • Economics • Government • Housing Adam Davidson
Alex Blumberg
Planet Money
 "
357.02,100.0,1.0,100.0,1730.0,1730.0,357,0.02,Act Two. The Spy Who Bugged Me.,,"
Lawrence Wright is a reporter for the New Yorker Magazine, and an author of
the bestselling book on Al Qaeda, The Looming Tower. He's also one of the few people in America who can say definitively that he was targeted by the U.S. Government's warrantless wiretappping program, first exposed on the front page of The New York Times. He tells the story of how he knew his phone calls were listened to...and how he then went on to question the head of US intelligence, Mike McConnell,
about it. (17 minutes) 
Lawrence Wright first wrote about his experiences in an article in The New
Yorker, called ""The Spymaster."" His latest article in the magazine is called ""The Rebellion Within. Government • Journalism • Terrorism 
Song:
""Don't You Lie to Me"", Chuck Berry
 
"
358.02,100.0,1.0,100.0,281.0,281.0,358,0.02,Act Two. Take My Bike...please.,David Ellis Dickerson,"
When David Ellis Dickerson was 12, he got a new bike, and his father decided to use the occasion to teach David a lesson. But the lesson David learned wasn't the one his father intended. (9 minutes) Education • Family • Fathers • Parenting David Ellis Dickerson
 
Song:
""Old Bikes"", The Trucks
 
"
359.02,100.0,1.0,100.0,1311.0,1311.0,359,0.02,Act Two. Soldier Of Misfortune.,Chris Neary,"
When John came back from fighting in Iraq, he refused to leave his house. He was paranoid. He had violent nightmares—the same ones every night. Unlike a lot of vets, John got treatment. His doctor at the Veterans Affairs hospital felt optimistic about his case. And then John attacked his fiancée and her mother. Chris Neary tells the story of one veteran's struggle to return to being the person he was before the war. (21 minutes) Iraq • Mental Health • Military Chris Neary
 "
361.03,100.0,1.0,100.0,1977.0,1977.0,361,0.03,Act Three. The Bitter Fruits Of Wakefulness. ,Joel Lovell,"
Joel Lovell explains why, as an 11-year-old, he trained himself not to fall asleep, and how that had some unintended consequences. Note that the Internet version of this story has slightly different language than the version broadcast on the radio. (10 minutes) Health Care/Medicine Joel Lovell
 "
363.01,100.0,1.0,100.0,1808.0,1808.0,363,0.01,Act One. Hanging In Chad.,Ira Glass,"
Three guys who go by the names Professor So and So, Jojobean and YeaWhatever spend part of each day running elaborate cons on Internet scammers. They consider themselves enforcers of justice, even after they send a man 1400 miles from home, to the least safe place they can bait him: The border of Darfur. The three self-made enforcers tell Ira their story. For more on what they did, along with photos, maps and phone recordings, go here. (29 minutes) Crime • Criminal Justice • Technology Ira Glass
 "
365.01,100.0,4.0,100.0,4192.0,4192.0,365,0.01,Act One. The Day The Market Died.,"Adam Davidson, Alex Blumberg, Planet Money","
Alex Blumberg and Adam Davidson recount the 36-hour period, two weeks ago, when the credit markets froze. Plus, what it's like now for businesses to get short-term loans, and how the hardship is spreading to every sector of the economy. (16 minutes) Business • Economics Adam Davidson
Alex Blumberg
Planet Money
 "
324.02,100.0,1.0,100.0,1723.0,1723.0,324,0.02,Act Two. Tragedy Minus Time Equals Happily Ever After.,Josh Gleason,"
Ron Mallett was ten years old when his father died unexpectedly of a heart attack. A year later, after picking up a comic book based on H.G. Wells' book The Time Machine, Ron concocted perhaps the world's most complicated plan to try to see his dad again. A half-century later, Dr. Ronald Mallett wrote a book about his plan, called Time Traveler. Josh Gleason reports. (23 minutes) Death • Family • Fathers • Science Josh Gleason
 "
365.02,100.0,2.0,100.0,2224.0,2224.0,365,0.02,Act Two. Out Of The Hedges And Into The Woods.,"Alex Blumberg, Planet Money","
One more confusing financial product that's bringing down the global economy. And one of way to think about this product is this: If bad mortgages got the financial system sick, this next thing you're about to hear about, helped spread the sickness into an epidemic. These are ""credit default swaps."" Alex explains. (19 minutes) Business • Economics Alex Blumberg
Planet Money
 "
365.03,100.0,1.0,100.0,543.0,543.0,365,0.03,Act Three. Swap Cops.,Ira Glass,"
Ira talks with Michael Greenberger, a former commodities regulator, who tells the story of when it was decided not to regulate credit default swaps. And how that decision was emblematic of
the way we didn't regulate a lot of the toxic financial products we're hearing about now. (7 minutes)Business • Economics Ira Glass
 
Song:
""Bankrupt on Selling"", Modest Mouse
 
"
368.02,100.0,1.0,100.0,433.0,433.0,368,0.02,Act Two. What A Difference An Election Day Makes.,Ira Glass,"
Ira talks to Rev. Donald Sharp, of Faith Tabernacle Church in Chicago. Reverend Sharp, who is black, served in the segregated armed forces during World War II. Now, he sees Obama’s election very differently than his children and grandchildren do. They're ecstatic, while he can't shake his suspicion that racism will persist in this country. (6 minutes) History • Race Ira Glass
 "
369.01,100.0,1.0,100.0,71.0,71.0,369,0.01,"Act One. You Gotta Ask Yourself One Question: Do You Feel Clucky? Well...do Ya, Punk?",Greg Warner,"
Greg Warner was living in Pakistan, on the border of Afghanistan, when he met a man—a tough guy, former smuggler—who wanted to break his friend out of prison. He'd bought an expensive amulet, to keep his friend safe during the breakout. But he wanted to test out the amulet first. On a chicken. So Greg and the man and Greg's translator go up into the hills, put the amulet on the chicken, and start shooting. Greg is a reporter based in Afghanistan. (13 minutes) Animals • Religion Greg Warner
 "
369.03,0.0,1.0,100.0,1034.0,1034.0,369,0.03,Act Three. A Pastor And His Flock.,Sarah Koenig,"
Working in a poultry processing plant is one of the most unpleasant jobs you can get in this country. It's low-paid, dangerous and difficult. Barely any poultry plants are represented by a union, especially in the South, where most of the plants are located. So worker rights advocates rely in large part on the church to help them organize workers. And in the past few years, they've been trying something new: They've been using the church to intervene with company management in a very, very personal way. This American Life producer Sarah Koenig tells the story of how one organizer tried this method with a manager at a company called Case Farms, and a plant they have in Morganton, North Carolina. You can learn more in the film Mississippi Chicken, a documentary about poultry factory workers in Canton, Mississippi. (15 minutes)Activism • Animals • Labor Sarah Koenig
 "
