episode-act,tags
245.02,Food/Drinks/Cooking
245.02,Retail/Commerce
425.0,Birth
425.0,Health Care/Medicine
425.0,Mental Health
348.03,Activism
348.03,Religion
292.21,Business
292.21,Crime
292.21,Government
292.21,Terrorism
163.0,Jobs/Employment
163.0,Police
114.04,Film/Film Making
159.01,Children
159.01,Family
159.01,Mothers
159.01,Siblings
159.02,Crime
159.02,Criminal Justice
159.02,Legal System
159.02,Mothers
159.02,Murder
159.02,Parenting
159.02,Teenagers
360.01,Family
360.01,History
161.0,Automobiles
314.0,Childhood
314.0,Education
314.0,Funny
260.0,Legal System
260.0,Radio
248.02,Death
248.02,Family
248.02,Health Care/Medicine
248.03,Birth
248.03,Health Care/Medicine
153.0,Jobs/Employment
248.01,Automobiles
248.01,Crime
248.01,Television
248.04,Animals
478.02,Politics
416.21,Iraq
416.21,Milestones
416.21,War
316.0,Animals
316.0,Funny
316.0,Music
431.0,Government
431.0,Politics
262.0,Cancer
262.0,Health Care/Medicine
400.04,Automobiles
400.04,Family
400.04,Fathers
400.04,Technology
89.01,Family
89.01,Siblings
89.02,Family
89.02,Music
89.02,Siblings
89.03,Family
89.03,Mothers
89.03,Parenting
89.03,Siblings
89.04,Fiction
89.04,Siblings
400.01,Death
400.01,Funny
400.01,Mothers
400.02,Fathers
400.02,History
400.02,Music
400.03,Business
400.03,Fathers
177.0,Food/Drinks/Cooking
177.0,Immigration
177.0,Jobs/Employment
364.02,Love
364.02,Music
364.02,Relationships
364.01,Activism
364.01,Children
364.01,Education
364.01,New York
45.0,Jobs/Employment
45.0,Journalism
420.01,Fathers
420.01,Neighbors/Neighborhoods
420.01,Parenting
332.0,Funny
332.0,Religion
50.04,Health Care/Medicine
171.0,Education
171.0,Government
171.0,Politics
171.0,Teenagers
171.0,Television
50.05,Cancer
50.05,Food/Drinks/Cooking
50.05,Health Care/Medicine
239.02,History
239.02,Live Performance
239.02,Music
239.02,Terrorism
239.03,Journalism
239.03,Live Performance
239.03,Writing
239.01,Live Performance
239.01,Sexuality
239.01,Teenagers
173.0,Children
173.0,Fiction
381.0,Activism
381.0,Development
381.0,Government
381.0,History
27.01,Childhood
27.01,Friendship
27.01,Funny
27.01,Live Performance
27.01,Sexuality
27.02,Children
27.02,Fiction
27.03,Children
27.03,Education
276.04,Activism
276.04,Politics
276.03,Military
276.03,Politics
276.02,Crime
276.02,Politics
276.01,Economics
276.01,Politics
106.04,Children
106.04,Fathers
106.04,Literature
106.01,Fathers
106.01,Teenagers
106.03,Children
106.03,Fathers
106.02,Children
106.02,Fathers
429.0,Film/Film Making
429.0,Military
327.0,Friendship
382.21,Business
382.21,Economics
382.21,Government
338.21,Funny
338.21,Government
338.21,Live Performance
329.0,Jobs/Employment
266.02,Business
266.02,Iraq
266.02,Jobs/Employment
266.03,Business
266.03,Iraq
399.01,Housing
266.01,Business
266.01,Iraq
266.01,Military
266.01,Travel
266.06,Iraq
266.06,Jobs/Employment
266.06,Police
266.07,Business
266.07,Iraq
266.07,Jobs/Employment
266.04,Business
266.04,Iraq
266.05,Business
266.05,Iraq
266.05,Jobs/Employment
266.05,Travel
366.01,Children
366.01,Education
366.01,Mental Health
366.03,Crime
366.03,Personal Finance
366.02,Advertising/Marketing
366.02,Business
366.02,Economics
366.02,Politics
19.01,Death
19.01,Family
19.01,Fathers
19.01,Legal System
19.03,Death
19.03,Government
19.03,Politics
19.02,Politics
19.02,Presidents
318.0,Activism
318.0,Education
318.0,Heroism
583.0,Children
459.0,Economics
459.0,Government
445.06,9/11
579.01,Health Care/Medicine
579.01,Mental Health
600.21,Elections
600.21,Politics
52.04,Jobs/Employment
52.04,Mental Health
255.0,Holidays
255.0,Retail/Commerce
567.0,Relationships
567.0,Teenagers
621.01,Immigration
621.01,Politics
406.02,Immigration
589.01,Religion
589.02,Relationships
52.01,Mental Health
330.01,Politics
299.01,Economics
299.01,Natural Disasters
299.02,Homelessness
299.02,Natural Disasters
299.02,Sports
569.0,Food/Drinks/Cooking
618.01,Art
618.01,Family
618.01,Lying
573.0,Technology
19.0,Government
19.0,Politics
19.0,Presidents
447.01,Crime
447.01,Drugs
447.01,Journalism
447.01,Mothers
342.02,Death
342.02,Mothers
342.01,Crime
342.01,Film/Film Making
342.01,Murder
367.04,Politics
367.05,Politics
104.03,Funny
104.03,Live Performance
104.03,Music
104.03,Travel
104.02,Childhood
104.02,Funny
104.02,Live Performance
104.02,Music
104.01,Childhood
104.01,Fathers
104.01,Funny
104.01,Live Performance
104.01,Music
367.01,Politics
404.01,Science
404.02,Health Care/Medicine
404.02,Science
404.03,Fiction
404.03,Love
404.03,Sexuality
432.03,Addiction
432.03,Alcohol
432.03,Housing
432.02,Government
432.02,Politics
577.0,Science
71.0,Health Care/Medicine
71.0,Veterans
71.0,War
408.21,Natural Disasters
408.21,Travel
344.01,Immigration
344.01,Jobs/Employment
344.02,Economics
344.02,Television
102.01,Jobs/Employment
102.01,Travel
365.01,Business
365.01,Economics
102.03,Jobs/Employment
102.03,Journalism
102.03,Travel
102.02,Funny
102.02,Live Performance
102.02,Marriage
102.02,Relationships
102.02,Travel
102.04,Travel
541.0,Family
541.0,Funny
392.02,Health Care/Medicine
392.02,Jobs/Employment
392.03,Animals
392.03,Business
392.03,Health Care/Medicine
392.01,Business
392.01,Drugs
392.01,Health Care/Medicine
124.01,Education
124.01,Jobs/Employment
124.01,Journalism
124.01,New York
71.02,Health Care/Medicine
71.02,Teenagers
71.01,Automobiles
71.01,Family
71.01,Fathers
71.01,Health Care/Medicine
71.01,Mental Health
71.01,Travel
124.02,Childhood
124.02,Fathers
124.02,Film/Film Making
124.02,Government
124.02,Immigration
124.02,Politics
124.02,Travel
100.03,Business
100.03,Jobs/Employment
100.03,Radio
100.02,Radio
100.02,Travel
100.01,Crime
100.01,Radio
100.04,Funny
100.04,History
100.04,Politics
100.04,Radio
100.04,Sexuality
311.03,Business
311.03,Religion
311.02,Crime
311.02,Personal Finance
311.01,Children
311.01,Education
311.01,Health Care/Medicine
311.01,Mothers
311.04,Food/Drinks/Cooking
410.01,Economics
410.01,Government
400.05,Children
400.05,Funny
400.05,Mothers
400.05,Music
400.05,Religion
