episode,malePercent,year,title,description,url
1,94.6500672948,1995,New Beginnings,"
Our program's very first broadcast. ",https://hw2.thisamericanlife.org/radio-archives/episode/1
2,95.9557609772,1995,Small Scale Sin,"
Small-scale stories on the nature of small-scale sin. ",https://hw2.thisamericanlife.org/radio-archives/episode/2
3,42.6849934099,1995,Poultry Slam 1995,"
Stories decrying the wonders of turkeys, chickens, and other fowl. ",https://hw2.thisamericanlife.org/radio-archives/episode/3
4,59.9546000801,1995,Vacations,"
Stories about vacations gone awry—or perhaps vacations that never should have happened. ",https://hw2.thisamericanlife.org/radio-archives/episode/4
5,57.8707718994,1995,Anger and Forgiveness,"
Stories that reveal the societal ""trend"" toward anger and away from genuine forgiveness. ",https://hw2.thisamericanlife.org/radio-archives/episode/5
6,90.203403902,1995,Christmas,"
",https://hw2.thisamericanlife.org/radio-archives/episode/6
7,46.5726786582,1995,New Year,Stories of people who quit everything in their lives that they hated—and what happened to them afterwards.,https://hw2.thisamericanlife.org/radio-archives/episode/7
8,39.2268907563,1996,New Year,"
Stories that reflect back on 1995. ",https://hw2.thisamericanlife.org/radio-archives/episode/8
10,35.4897494305,1996,Double Lives,"
People living their lives, just like the rest of us. Plus an extra life. ",https://hw2.thisamericanlife.org/radio-archives/episode/10
11,70.9068206649,1996,Enemies,"
A story of a friendship between two adolescent boys that was destroyed through the manipulative acts of one of them. ",https://hw2.thisamericanlife.org/radio-archives/episode/11
12,52.7706963639,1996,Animals,"
Stories about the animalness of animals, the irreducible ways in which they are not human. ",https://hw2.thisamericanlife.org/radio-archives/episode/12
13,19.3939393939,1996,Love,"
Explorations of the dream of true love ... and the difficulties with achieving and maintaining that dream. ",https://hw2.thisamericanlife.org/radio-archives/episode/13
14,40.5964585275,1996,Accidental Documentaries,"
What unites these stories on the surface is that they're all made from old tapes, recordings found in attics and thrift stores. What unites them under that surface — and not far under it — is that they all end up being stories about fathers and the legacies that fathers leave their children. ",https://hw2.thisamericanlife.org/radio-archives/episode/14
15,85.0333651096,1996,Dawn,"
Writer Jack Hitt goes on a search for a mysterious neighbor from his childhood in Charleston, South Carolina, and stumbles onto an epic story of the Old South, the New South, gender confusion, Chihuahuas, and changing values in American journalism. ",https://hw2.thisamericanlife.org/radio-archives/episode/15
16,64.6455001194,1996,Economy,"
Stories of politics, the economy, and the big picture. ",https://hw2.thisamericanlife.org/radio-archives/episode/16
17,82.8183520599,1996,Name Change / No Theme,"
Our first show as This American Life. ",https://hw2.thisamericanlife.org/radio-archives/episode/17
18,30.493559495,1996,Liars,"
April first is the one day of the year when we're allowed to enjoy deceiving others. But April Fools' Day is for amateur deceivers. The real pros are the people who can't control their lying, who lie without even knowing what the truth is. ",https://hw2.thisamericanlife.org/radio-archives/episode/18
19,100.0,1996,Rich Guys,"
Men who had comfortable, decent lives, yet decided to do something wild and eccentric with their lives instead. ",https://hw2.thisamericanlife.org/radio-archives/episode/19
20,47.4284044418,1996,From A Distance,"
Stories of hero worship, of people admiring someone from afar, and trying to get closer to them. ",https://hw2.thisamericanlife.org/radio-archives/episode/20
21,97.9833206975,1996,Factions,"
A show about something most people have gone through. Friends get together to start a business, start a church, do political action together. And after a while, they start fighting and split up. We hear three true stories. ",https://hw2.thisamericanlife.org/radio-archives/episode/21
22,7.98528058878,1996,Adult Children,"
Stories of the difficult relationships between parents and their grown children, including two long stories from Sandra Tsing Loh about her father. ",https://hw2.thisamericanlife.org/radio-archives/episode/22
23,84.9759170063,1996,Drama Bug,"
Stories of the people who fall for a life in the theater. ",https://hw2.thisamericanlife.org/radio-archives/episode/23
24,7.79148759185,1996,Teenaged Girls,"
Stories of girls who have to figure out how they're going to act when the ground rules are constantly shifting. ",https://hw2.thisamericanlife.org/radio-archives/episode/24
25,54.8057669203,1996,Basketball,"
A set of documentary stories, radio essays and monologues about basketball, the Chicago Bulls, and their grip on Chicagoans' hearts and lives during the NBA Playoffs. ",https://hw2.thisamericanlife.org/radio-archives/episode/25
